2024-04- 29 15:21:00: ; Temperatura interna central: 45.50C
2024-04- 29 15:21:00: ; Temperatura do LIDAR: 55.75C
2024-04- 29 15:22:00: ; Temperatura interna central: 45.50C
2024-04- 29 15:22:00: ; Temperatura do LIDAR: 55.75C
2024-04- 29 15:23:00: ; Temperatura interna central: 45.40C
2024-04- 29 15:23:00: ; Temperatura do LIDAR: 55.75C
2024-04- 29 15:24:00: ; Temperatura interna central: 45.50C
2024-04- 29 15:24:00: ; Temperatura do LIDAR: 55.75C
2024-04- 29 15:25:00: ; Temperatura interna central: 45.60C
2024-04- 29 15:25:00: ; Temperatura do LIDAR: 56.00C
2024-04- 29 15:26:00: ; Temperatura interna central: 45.70C
2024-04- 29 15:26:00: ; Temperatura do LIDAR: 55.25C
2024-04- 29 15:27:00: ; Temperatura interna central: 45.80C
2024-04- 29 15:27:00: ; Temperatura do LIDAR: 54.75C
2024-04- 29 15:28:00: ; Temperatura interna central: 45.80C
2024-04- 29 15:28:00: ; Temperatura do LIDAR: 55.00C
2024-04- 29 15:29:00: ; Temperatura interna central: 45.80C
2024-04- 29 15:29:00: ; Temperatura do LIDAR: 55.50C
2024-04- 29 15:30:00: ; Temperatura interna central: 46.00C
2024-04- 29 15:30:00: ; Temperatura do LIDAR: 55.50C
2024-04- 29 15:31:00: ; Temperatura interna central: 46.20C
2024-04- 29 15:31:00: ; Temperatura do LIDAR: 55.75C
2024-04- 29 15:32:00: ; Temperatura interna central: 46.20C
2024-04- 29 15:32:00: ; Temperatura do LIDAR: 56.25C
2024-04- 29 15:33:00: ; Temperatura interna central: 46.20C
2024-04- 29 15:33:00: ; Temperatura do LIDAR: 56.25C
2024-04- 29 15:34:00: ; Temperatura interna central: 46.10C
2024-04- 29 15:34:00: ; Temperatura do LIDAR: 56.00C
2024-04- 29 15:35:00: ; Temperatura interna central: 45.80C
2024-04- 29 15:35:00: ; Temperatura do LIDAR: 55.25C
2024-04- 29 15:36:00: ; Temperatura interna central: 45.30C
2024-04- 29 15:36:00: ; Temperatura do LIDAR: 54.25C
2024-04- 29 15:37:00: ; Temperatura interna central: 45.00C
2024-04- 29 15:37:00: ; Temperatura do LIDAR: 54.25C
2024-04- 29 15:38:00: ; Temperatura interna central: 44.90C
2024-04- 29 15:38:00: ; Temperatura do LIDAR: 54.50C
2024-04- 29 15:39:00: ; Temperatura interna central: 44.90C
2024-04- 29 15:39:00: ; Temperatura do LIDAR: 54.25C
2024-04- 29 15:40:00: ; Temperatura interna central: 44.90C
2024-04- 29 15:40:00: ; Temperatura do LIDAR: 54.00C
2024-04- 29 15:41:00: ; Temperatura interna central: 44.90C
2024-04- 29 15:41:00: ; Temperatura do LIDAR: 54.00C
2024-04- 29 15:42:00: ; Temperatura interna central: 44.80C
2024-04- 29 15:42:00: ; Temperatura do LIDAR: 54.00C
2024-04- 29 15:43:00: ; Temperatura interna central: 44.90C
2024-04- 29 15:43:00: ; Temperatura do LIDAR: 54.00C
2024-04- 29 15:44:00: ; Temperatura interna central: 44.90C
2024-04- 29 15:44:00: ; Temperatura do LIDAR: 53.75C
2024-04- 29 15:45:00: ; Temperatura interna central: 44.90C
2024-04- 29 15:45:00: ; Temperatura do LIDAR: 52.25C
2024-04- 29 15:46:00: ; Temperatura interna central: 44.50C
2024-04- 29 15:46:00: ; Temperatura do LIDAR: 52.75C
2024-04- 29 15:47:00: ; Temperatura interna central: 44.40C
2024-04- 29 15:47:00: ; Temperatura do LIDAR: 52.50C
