
2024-04- 29 14:36:48: ; Temperatura interna central: 49.20C
2024-04- 29 14:36:48: ; Temperatura interna lateral: 44.40C
2024-04- 29 14:36:48: ; Temperatura do chassi: 47.00C
2024-04- 29 14:36:48: ; Temperatura do LIDAR: 62.75C
2024-04- 29 14:37:48: ; Temperatura interna central: 49.50C
2024-04- 29 14:37:48: ; Temperatura interna lateral: 44.70C
2024-04- 29 14:37:48: ; Temperatura do chassi: 47.50C
2024-04- 29 14:37:48: ; Temperatura do LIDAR: 63.25C
2024-04- 29 14:38:48: ; Temperatura interna central: 49.70C
2024-04- 29 14:38:48: ; Temperatura interna lateral: 45.00C
2024-04- 29 14:38:48: ; Temperatura do chassi: 46.75C
2024-04- 29 14:38:48: ; Temperatura do LIDAR: 64.50C
2024-04- 29 14:39:48: ; Temperatura interna central: 50.00C
2024-04- 29 14:39:48: ; Temperatura interna lateral: 45.50C
2024-04- 29 14:39:48: ; Temperatura do chassi: 47.00C
2024-04- 29 14:39:48: ; Temperatura do LIDAR: 63.75C
2024-04- 29 14:40:48: ; Temperatura interna central: 50.00C
2024-04- 29 14:40:48: ; Temperatura interna lateral: 45.60C
2024-04- 29 14:40:48: ; Temperatura do chassi: 47.50C
2024-04- 29 14:40:48: ; Temperatura do LIDAR: 63.25C
2024-04- 29 14:41:48: ; Temperatura interna central: 50.30C
2024-04- 29 14:41:48: ; Temperatura interna lateral: 46.10C
2024-04- 29 14:41:48: ; Temperatura do chassi: 47.75C
2024-04- 29 14:41:48: ; Temperatura do LIDAR: 63.50C
2024-04- 29 14:42:48: ; Temperatura interna central: 50.60C
2024-04- 29 14:42:48: ; Temperatura interna lateral: 46.60C
2024-04- 29 14:42:48: ; Temperatura do chassi: 48.75C
2024-04- 29 14:42:48: ; Temperatura do LIDAR: 64.00C
2024-04- 29 14:43:48: ; Temperatura interna central: 50.90C
2024-04- 29 14:43:48: ; Temperatura interna lateral: 47.20C
2024-04- 29 14:43:48: ; Temperatura do chassi: 49.50C
2024-04- 29 14:43:48: ; Temperatura do LIDAR: 63.25C
2024-04- 29 14:44:48: ; Temperatura interna central: 51.20C
2024-04- 29 14:44:48: ; Temperatura interna lateral: 48.00C
2024-04- 29 14:44:48: ; Temperatura do chassi: 50.25C
2024-04- 29 14:44:48: ; Temperatura do LIDAR: 64.25C
2024-04- 29 14:45:48: ; Temperatura interna central: 51.60C
2024-04- 29 14:45:48: ; Temperatura interna lateral: 48.70C
2024-04- 29 14:45:48: ; Temperatura do chassi: 50.00C
2024-04- 29 14:45:48: ; Temperatura do LIDAR: 64.75C
2024-04- 29 14:46:48: ; Temperatura interna central: 52.00C
2024-04- 29 14:46:48: ; Temperatura interna lateral: 49.30C
2024-04- 29 14:46:48: ; Temperatura do chassi: 50.00C
2024-04- 29 14:46:48: ; Temperatura do LIDAR: 64.75C
2024-04- 29 14:47:48: ; Temperatura interna central: 52.20C
2024-04- 29 14:47:48: ; Temperatura interna lateral: 49.40C
2024-04- 29 14:47:48: ; Temperatura do chassi: 50.75C
2024-04- 29 14:47:48: ; Temperatura do LIDAR: 65.00C
2024-04- 29 14:48:48: ; Temperatura interna central: 52.40C
2024-04- 29 14:48:48: ; Temperatura interna lateral: 49.50C
2024-04- 29 14:48:48: ; Temperatura do chassi: 51.25C
2024-04- 29 14:48:48: ; Temperatura do LIDAR: 65.50C
2024-04- 29 14:49:48: ; Temperatura interna central: 52.80C
2024-04- 29 14:49:48: ; Temperatura interna lateral: 49.90C
2024-04- 29 14:49:48: ; Temperatura do chassi: 50.75C
2024-04- 29 14:49:48: ; Temperatura do LIDAR: 65.50C
2024-04- 29 14:50:48: ; Temperatura interna central: 52.90C
2024-04- 29 14:50:48: ; Temperatura interna lateral: 50.00C
2024-04- 29 14:50:48: ; Temperatura do chassi: 51.00C
2024-04- 29 14:50:48: ; Temperatura do LIDAR: 66.00C
2024-04- 29 14:51:48: ; Temperatura interna central: 52.70C
2024-04- 29 14:51:48: ; Temperatura interna lateral: 49.90C
2024-04- 29 14:51:48: ; Temperatura do chassi: 50.75C
2024-04- 29 14:51:48: ; Temperatura do LIDAR: 65.75C
2024-04- 29 14:52:48: ; Temperatura interna central: 52.60C
2024-04- 29 14:52:48: ; Temperatura interna lateral: 49.80C
2024-04- 29 14:52:48: ; Temperatura do chassi: 51.00C
2024-04- 29 14:52:48: ; Temperatura do LIDAR: 66.00C
2024-04- 29 14:53:48: ; Temperatura interna central: 52.50C
2024-04- 29 14:53:48: ; Temperatura interna lateral: 49.70C
2024-04- 29 14:53:48: ; Temperatura do chassi: 50.75C
2024-04- 29 14:53:48: ; Temperatura do LIDAR: 65.75C
2024-04- 29 14:54:48: ; Temperatura interna central: 52.50C
2024-04- 29 14:54:48: ; Temperatura interna lateral: 49.90C
