2024-04- 25 12:49:14: ; Temperatura do LIDAR: 44.50C
2024-04- 25 12:50:14: ; Temperatura interna central: 35.00C
2024-04- 25 12:50:14: ; Temperatura do LIDAR: 44.25C
2024-04- 25 12:51:14: ; Temperatura interna central: 35.20C
2024-04- 25 12:51:14: ; Temperatura do LIDAR: 45.00C
2024-04- 25 12:52:14: ; Temperatura interna central: 35.30C
2024-04- 25 12:52:14: ; Temperatura do LIDAR: 44.75C
2024-04- 25 12:53:14: ; Temperatura interna central: 35.30C
2024-04- 25 12:53:14: ; Temperatura do LIDAR: 45.00C
2024-04- 25 12:54:14: ; Temperatura interna central: 35.40C
2024-04- 25 12:54:14: ; Temperatura do LIDAR: 45.00C
2024-04- 25 12:55:14: ; Temperatura interna central: 35.40C
2024-04- 25 12:55:14: ; Temperatura do LIDAR: 44.00C
2024-04- 25 12:56:14: ; Temperatura interna central: 35.40C
2024-04- 25 12:56:14: ; Temperatura do LIDAR: 44.50C
2024-04- 25 12:57:14: ; Temperatura interna central: 35.30C
2024-04- 25 12:57:14: ; Temperatura do LIDAR: 44.75C
2024-04- 25 12:58:14: ; Temperatura interna central: 35.30C
2024-04- 25 12:58:14: ; Temperatura do LIDAR: 44.50C
2024-04- 25 12:59:14: ; Temperatura interna central: 35.30C
2024-04- 25 12:59:14: ; Temperatura do LIDAR: 44.75C
2024-04- 25 13:00:14: ; Temperatura interna central: 35.30C
2024-04- 25 13:00:14: ; Temperatura do LIDAR: 44.50C
2024-04- 25 13:01:14: ; Temperatura interna central: 35.30C
2024-04- 25 13:01:14: ; Temperatura do LIDAR: 44.75C
2024-04- 25 13:02:14: ; Temperatura interna central: 35.40C
2024-04- 25 13:02:14: ; Temperatura do LIDAR: 44.75C
2024-04- 25 13:03:14: ; Temperatura interna central: 35.40C
2024-04- 25 13:03:14: ; Temperatura do LIDAR: 45.25C
2024-04- 25 13:04:15: ; Temperatura interna central: 35.60C
2024-04- 25 13:04:15: ; Temperatura do LIDAR: 45.50C
2024-04- 25 13:05:15: ; Temperatura interna central: 35.60C
2024-04- 25 13:05:15: ; Temperatura do LIDAR: 45.25C
2024-04- 25 13:06:15: ; Temperatura interna central: 35.70C
2024-04- 25 13:06:15: ; Temperatura do LIDAR: 45.75C
2024-04- 25 13:07:15: ; Temperatura interna central: 35.80C
2024-04- 25 13:07:15: ; Temperatura do LIDAR: 45.25C
2024-04- 25 13:08:15: ; Temperatura interna central: 35.90C
2024-04- 25 13:08:15: ; Temperatura do LIDAR: 44.75C
2024-04- 25 13:09:15: ; Temperatura interna central: 35.60C
2024-04- 25 13:09:15: ; Temperatura do LIDAR: 44.25C
2024-04- 25 13:10:15: ; Temperatura interna central: 35.20C
2024-04- 25 13:10:15: ; Temperatura do LIDAR: 43.75C
2024-04- 25 13:11:15: ; Temperatura interna central: 34.80C
2024-04- 25 13:11:15: ; Temperatura do LIDAR: 43.50C
2024-04- 25 13:12:15: ; Temperatura interna central: 34.60C
2024-04- 25 13:12:15: ; Temperatura do LIDAR: 43.50C
2024-04- 25 13:13:15: ; Temperatura interna central: 34.50C
2024-04- 25 13:13:15: ; Temperatura do LIDAR: 43.50C
2024-04- 25 13:14:15: ; Temperatura interna central: 34.40C
2024-04- 25 13:14:15: ; Temperatura do LIDAR: 43.00C
2024-04- 25 13:15:15: ; Temperatura interna central: 34.40C
2024-04- 25 13:15:15: ; Temperatura do LIDAR: 43.25C
2024-04- 25 13:16:15: ; Temperatura interna central: 34.40C
2024-04- 25 13:16:15: ; Temperatura do LIDAR: 43.25C
2024-04- 25 13:17:15: ; Temperatura interna central: 34.30C
2024-04- 25 13:17:15: ; Temperatura do LIDAR: 43.25C
2024-04- 25 13:18:15: ; Temperatura interna central: 34.20C
2024-04- 25 13:18:15: ; Temperatura do LIDAR: 43.25C
2024-04- 25 13:19:15: ; Temperatura interna central: 34.20C
2024-04- 25 13:19:15: ; Temperatura do LIDAR: 42.75C
2024-04- 25 13:20:15: ; Temperatura interna central: 34.20C
2024-04- 25 13:20:15: ; Temperatura do LIDAR: 43.00C
2024-04- 25 13:21:15: ; Temperatura interna central: 34.20C
2024-04- 25 13:21:15: ; Temperatura do LIDAR: 43.00C
2024-04- 25 13:22:15: ; Temperatura interna central: 34.20C
2024-04- 25 13:22:15: ; Temperatura do LIDAR: 43.75C
2024-04- 25 13:23:15: ; Temperatura interna central: 34.40C
2024-04- 25 13:23:15: ; Temperatura do LIDAR: 44.50C
2024-04- 25 13:24:15: ; Temperatura interna central: 34.70C
